Departamento,pobreza,CastilloProp
Amazonas,25.6,0.11255903274480218
Ancash,21.4,0.1248159410560047
Apurimac,24.9,0.28105063291139243
Arequipa,13.6,0.22372405410785948
Ayacucho,40.7,0.27515096707671116
Cajamarca,44.5,0.2106672395211589
Cusco,21.5,0.22645326154806492
Huancavelica,37.8,0.2664561120319634
Huanuco,42.2,0.18924951953493369
Ica,5.1,0.08693602962398904
Junin,21.6,0.13377151022435363
La Libertad,28.4,0.06318709954535566
Lambayeque,14.1,0.07495376696915888
Lima y Callao,26.5,0.049249601514790416
Loreto,38.8,0.022375436451017482
Madre de Dios,13.7,0.20551354784444653
Moquegua,12.9,0.22690355672083415
Pasco,39.9,0.17035409254442352
Piura,25.6,0.050863333256949056
Puno,41.3,0.31693376253774336
San Martin,25.5,0.10529127968192604
Tacna,23.2,0.22801034724038252
Tumbes,24.9,0.04537732981266131
Ucayali,22.3,0.06755512466368634
